chr,pos,snp,cases,pvalue,ratio,gene,phenotype,gwas,number
chr16,57006590,rs7499892,2802,0.04537,1.09,CETP,Mood disorders,HDL Cholesterol,182
chr16,56997233,rs1864163,708,0.04555,1.142,CETP,Abnormal function study of cardiovascular system,HDL Cholesterol,182
chr16,56993324,rs3764261,526,0.04587,1.162,CETP,Macular puckering of retina,"HDL Cholesterol, Age-related macular degeneration, Total Cholesterol, LDL Cholesterol, Blood pressure + HDL Cholesterol, Triglycerides",182
chr16,57006590,rs7499892,2692,0.0462,1.093,CETP,Light-headedness and vertigo,HDL Cholesterol,182
chr16,57005479,rs1532624,611,0.04635,1.13,CETP,Thrombocytopenia,"Cholesterol, HDL Cholesterol",182
chr16,56995236,rs1800775,110,0.04645,1.315,CETP,Ulcerative colitis,"HDL Cholesterol, Apolipoprotein A-1",182
chr16,56997233,rs1864163,1338,0.04672,1.122,CETP,Abnormal electrocardiogram,HDL Cholesterol,182
chr16,57006590,rs7499892,138,0.04873,1.336,CETP,Appendiceal conditions,HDL Cholesterol,182
chr16,56985139,rs9989419,404,0.04891,1.171,CETP,Abdominal aortic aneurysm,HDL Cholesterol,182
chr16,57005479,rs1532624,2298,0.04894,1.071,CETP,Neck pain,"Cholesterol, HDL Cholesterol",182
chr1,162085309,rs1415259,1645,1.996e-4,1.164,NOS1AP,Visual disturbances,QTc interval,181
chr1,162210610,rs4657178,237,7.945e-4,1.473,NOS1AP,Hypertensive heart disease,QT interval,181
chr1,162014632,rs2880058,1645,8.013e-4,1.149,NOS1AP,Visual disturbances,QT interval,181
chr1,162014632,rs2880058,253,8.308e-4,1.364,NOS1AP,Cellulitis and abscess of foot/toes,QT interval,181
chr1,162085309,rs1415259,504,0.001812,1.238,NOS1AP,Stiffness of joint,QTc interval,181
chr1,162133117,rs12029454,2841,0.001879,1.149,NOS1AP,Benign neoplasm of colon,QT interval,181
chr1,162085309,rs1415259,461,0.002032,1.245,NOS1AP,Subjective visual disturbances,QTc interval,181
chr1,162210610,rs4657178,153,0.003484,1.445,NOS1AP,Spondylosis with myelopathy,QT interval,181
chr1,162133117,rs12029454,668,0.004093,1.251,NOS1AP,Carbohydrate transport and metabolism disorder,QT interval,181
chr1,162085309,rs1415259,5272,0.004114,1.093,NOS1AP,Osteoarthrosis,QTc interval,181
chr1,162133117,rs12029454,656,0.004275,1.252,NOS1AP,Disaccharide malabsorption,QT interval,181
chr1,162014632,rs2880058,398,0.004978,1.236,NOS1AP,Decreased white blood cell count,QT interval,181
chr1,162210610,rs4657178,840,0.005001,1.226,NOS1AP,Elevated prostate specific antigen,QT interval,181
chr1,162133117,rs12029454,1199,0.005049,1.181,NOS1AP,Chronic ulcer of skin,QT interval,181
chr1,162085309,rs1415259,904,0.005076,1.156,NOS1AP,Gout and other crystal arthropathies,QTc interval,181
chr1,162133117,rs12029454,847,0.00547,1.209,NOS1AP,Chronic ulcer of leg or foot,QT interval,181
chr1,162033890,rs12143842,398,0.005717,1.252,NOS1AP,Decreased white blood cell count,QT interval,181
chr1,162033890,rs12143842,192,0.005833,1.363,NOS1AP,Noninfectious disorders of lymphatic channels,QT interval,181
chr1,162085309,rs1415259,840,0.005859,1.197,NOS1AP,Elevated prostate specific antigen,QTc interval,181
chr1,162014632,rs2880058,504,0.006405,1.207,NOS1AP,Stiffness of joint,QT interval,181
chr1,162085309,rs1415259,4527,0.007047,1.094,NOS1AP,Osteoarthrosis NOS,QTc interval,181
chr1,162033890,rs12143842,148,0.007223,1.414,NOS1AP,Polyp of corpus uteri,QT interval,181
chr1,162085309,rs1415259,414,0.007341,1.219,NOS1AP,Joint effusions,QTc interval,181
chr1,162210610,rs4657178,1656,0.007678,1.132,NOS1AP,Degeneration of intervertebral disc,QT interval,181
chr1,162014632,rs2880058,754,0.007812,1.173,NOS1AP,Inflammatory diseases of female pelvic organs,QT interval,181
chr1,162085309,rs1415259,1645,0.007915,1.122,NOS1AP,Osteoarthritis; localized,QTc interval,181
chr1,162014632,rs2880058,366,0.008035,1.232,NOS1AP,Neutropenia,QT interval,181
chr1,162085309,rs1415259,4913,0.008053,1.089,NOS1AP,Pain in limb,QTc interval,181
chr1,162085309,rs1415259,253,0.008245,1.279,NOS1AP,Cellulitis and abscess of foot/toes,QTc interval,181
chr1,162033890,rs12143842,943,0.008308,1.174,NOS1AP,Persistent mental disorders due to other conditions,QT interval,181
chr1,162014632,rs2880058,164,0.008369,1.363,NOS1AP,Endometriosis,QT interval,181
chr1,162210610,rs4657178,343,0.008506,1.271,NOS1AP,Symptoms involving urinary system,QT interval,181
chr1,162033890,rs12143842,1170,0.008551,1.169,NOS1AP,Dementias,QT interval,181
chr1,162085309,rs1415259,1031,0.00859,1.156,NOS1AP,"Disorders of muscle, ligament, and fascia",QTc interval,181
chr1,162033890,rs12143842,101,0.008742,1.506,NOS1AP,Unspecified erythematous condition,QT interval,181
chr1,162210610,rs4657178,142,0.00885,1.417,NOS1AP,Hallux rigidus,QT interval,181
chr1,162085309,rs1415259,366,0.009279,1.226,NOS1AP,Neutropenia,QTc interval,181
chr1,162014632,rs2880058,2841,0.00929,1.092,NOS1AP,Benign neoplasm of colon,QT interval,181
chr1,162014632,rs2880058,939,0.009599,1.166,NOS1AP,"Conjunctivitis, infectious",QT interval,181
chr1,162133117,rs12029454,253,0.01001,1.353,NOS1AP,Cellulitis and abscess of foot/toes,QT interval,181
chr1,162210610,rs4657178,656,0.01005,1.187,NOS1AP,Disaccharide malabsorption,QT interval,181
chr1,162033890,rs12143842,2029,0.0118,1.116,NOS1AP,Spondylosis without myelopathy,QT interval,181
chr1,162085309,rs1415259,398,0.01184,1.208,NOS1AP,Decreased white blood cell count,QTc interval,181
chr1,162085309,rs1415259,754,0.01255,1.16,NOS1AP,Inflammatory diseases of female pelvic organs,QTc interval,181
chr1,162033890,rs12143842,236,0.01264,1.291,NOS1AP,Respiratory insufficiency,QT interval,181
chr1,162014632,rs2880058,571,0.01289,1.181,NOS1AP,Noninflammatory female genital disorders,QT interval,181
chr1,162133117,rs12029454,840,0.01297,1.238,NOS1AP,Elevated prostate specific antigen,QT interval,181
chr1,162033890,rs12143842,1566,0.01321,1.136,NOS1AP,Delirium dementia and amnestic disorders,QT interval,181
chr1,162085309,rs1415259,331,0.01334,1.232,NOS1AP,Fracture of humerus,QTc interval,181
chr1,162133117,rs12029454,132,0.01347,1.472,NOS1AP,Vascular insufficiency of intestine,QT interval,181
chr1,162085309,rs1415259,118,0.01368,1.382,NOS1AP,Type 1 diabetic neuropathy,QTc interval,181
chr1,162014632,rs2880058,236,0.01385,1.264,NOS1AP,Respiratory insufficiency,QT interval,181
chr1,162085309,rs1415259,192,0.01427,1.291,NOS1AP,Noninfectious disorders of lymphatic channels,QTc interval,181
chr1,162033890,rs12143842,307,0.01457,1.256,NOS1AP,Nontoxic multinodular goiter,QT interval,181
chr1,162014632,rs2880058,361,0.01465,1.223,NOS1AP,Urticaria,QT interval,181
chr1,162014632,rs2880058,307,0.01478,1.234,NOS1AP,Nontoxic multinodular goiter,QT interval,181
chr1,162014632,rs2880058,1199,0.01567,1.117,NOS1AP,Chronic ulcer of skin,QT interval,181
chr1,162014632,rs2880058,1229,0.01583,1.138,NOS1AP,Infection of the eye,QT interval,181
chr1,162133117,rs12029454,4527,0.01601,1.115,NOS1AP,Osteoarthrosis NOS,QT interval,181
chr1,162085309,rs1415259,238,0.01644,1.253,NOS1AP,"Hemangioma and lymphangioma, any site",QTc interval,181
chr1,162085309,rs1415259,312,0.01711,1.225,NOS1AP,Polyp of female genital organs,QTc interval,181
chr1,162210610,rs4657178,1199,0.01715,1.126,NOS1AP,Chronic ulcer of skin,QT interval,181
chr1,162085309,rs1415259,974,0.01731,1.144,NOS1AP,Fasciitis,QTc interval,181
chr1,162210610,rs4657178,668,0.01744,1.171,NOS1AP,Carbohydrate transport and metabolism disorder,QT interval,181
chr1,162085309,rs1415259,503,0.01746,1.185,NOS1AP,Abnormal findings on radiological examination intrathoracic organs,QTc interval,181
chr1,162085309,rs1415259,8134,0.01769,1.076,NOS1AP,Essential hypertension,QTc interval,181
chr1,162210610,rs4657178,437,0.01794,1.207,NOS1AP,Type 2 diabetic nephropathy,QT interval,181
chr1,162014632,rs2880058,385,0.01812,1.199,NOS1AP,Decubitus ulcer,QT interval,181
chr1,162033890,rs12143842,366,0.0182,1.223,NOS1AP,Neutropenia,QT interval,181
chr1,162014632,rs2880058,2586,0.01854,1.103,NOS1AP,Glaucoma,QT interval,181
chr1,162210610,rs4657178,126,0.01859,1.383,NOS1AP,Congenital musculoskeletal deformities of spine,QT interval,181
chr1,162210610,rs4657178,3141,0.01874,1.092,NOS1AP,Obesity,QT interval,181
chr1,162133117,rs12029454,5272,0.01876,1.104,NOS1AP,Osteoarthrosis,QT interval,181
chr1,162014632,rs2880058,503,0.01912,1.185,NOS1AP,Abnormal findings on radiological examination intrathoracic organs,QT interval,181
chr1,162085309,rs1415259,424,0.01938,1.212,NOS1AP,"Conjunctivitis, noninfectious",QTc interval,181
chr1,162085309,rs1415259,912,0.01946,1.133,NOS1AP,Open wounds of head; neck; and trunk,QTc interval,181
chr1,162085309,rs1415259,164,0.01994,1.311,NOS1AP,Endometriosis,QTc interval,181
chr1,162085309,rs1415259,693,0.01998,1.166,NOS1AP,Bursitis,QTc interval,181
chr1,162085309,rs1415259,769,0.02033,1.138,NOS1AP,Gout,QTc interval,181
chr1,162014632,rs2880058,192,0.02042,1.277,NOS1AP,Noninfectious disorders of lymphatic channels,QT interval,181
chr1,162085309,rs1415259,188,0.02068,1.281,NOS1AP,Iatrogenic hypothyroidism,QTc interval,181
chr1,162085309,rs1415259,533,0.02069,1.164,NOS1AP,Diabetic retinopathy,QTc interval,181
chr1,162085309,rs1415259,111,0.02092,1.446,NOS1AP,Absent or infrequent menstruation,QTc interval,181
chr1,162014632,rs2880058,361,0.02114,1.203,NOS1AP,Thyrotoxicosis,QT interval,181
chr1,162014632,rs2880058,118,0.02122,1.362,NOS1AP,Type 1 diabetic neuropathy,QT interval,181
chr1,162033890,rs12143842,137,0.02132,1.355,NOS1AP,Contracture of joint,QT interval,181
chr1,162085309,rs1415259,8185,0.02168,1.073,NOS1AP,Hypertension,QTc interval,181
chr1,162014632,rs2880058,471,0.02183,1.182,NOS1AP,Obstructive chronic bronchitis,QT interval,181
chr1,162033890,rs12143842,205,0.02199,1.292,NOS1AP,Adverse effects of antineoplastic and immunosuppressive drugs,QT interval,181
chr1,162033890,rs12143842,188,0.02202,1.305,NOS1AP,Iatrogenic hypothyroidism,QT interval,181
chr1,162210610,rs4657178,2298,0.02237,1.095,NOS1AP,Neck pain,QT interval,181
chr1,162033890,rs12143842,495,0.02255,1.212,NOS1AP,Senile dementia,QT interval,181
chr1,162210610,rs4657178,253,0.0227,1.258,NOS1AP,Cellulitis and abscess of foot/toes,QT interval,181
chr1,162033890,rs12143842,185,0.0232,1.31,NOS1AP,Fracture of pelvis,QT interval,181
chr1,162210610,rs4657178,848,0.0238,1.175,NOS1AP,Prostate cancer,QT interval,181
chr1,162014632,rs2880058,847,0.02407,1.128,NOS1AP,Chronic ulcer of leg or foot,QT interval,181
chr1,162210610,rs4657178,3516,0.02408,1.083,NOS1AP,Overweight,QT interval,181
chr1,162210610,rs4657178,539,0.02479,1.176,NOS1AP,Polyneuropathy in diabetes,QT interval,181
chr1,162085309,rs1415259,464,0.02503,1.176,NOS1AP,Other open wound of head and face,QTc interval,181
chr1,162014632,rs2880058,912,0.02511,1.128,NOS1AP,Open wounds of head; neck; and trunk,QT interval,181
chr1,162033890,rs12143842,737,0.02541,1.168,NOS1AP,Alzheimer's disease,QT interval,181
chr1,162210610,rs4657178,132,0.02592,1.352,NOS1AP,Vascular insufficiency of intestine,QT interval,181
chr1,162133117,rs12029454,498,0.02594,1.22,NOS1AP,Type 2 diabetic retinopathy,QT interval,181
chr1,162210610,rs4657178,533,0.02663,1.175,NOS1AP,Diabetic retinopathy,QT interval,181
chr1,162210610,rs4657178,847,0.02674,1.137,NOS1AP,Chronic ulcer of leg or foot,QT interval,181
chr1,162085309,rs1415259,1001,0.02705,1.173,NOS1AP,Irregular menstrual cycle/bleeding,QTc interval,181
chr1,162210610,rs4657178,8185,0.02732,1.079,NOS1AP,Hypertension,QT interval,181
chr1,162085309,rs1415259,137,0.0274,1.314,NOS1AP,Contracture of joint,QTc interval,181
chr1,162085309,rs1415259,156,0.02771,1.302,NOS1AP,Dupuytren's disease,QTc interval,181
chr1,162085309,rs1415259,243,0.02773,1.242,NOS1AP,Keratitis,QTc interval,181
chr1,162085309,rs1415259,851,0.02793,1.122,NOS1AP,Hereditary and idiopathic peripheral neuropathy,QTc interval,181
chr1,162133117,rs12029454,294,0.02903,1.275,NOS1AP,Symptoms involving nervous and musculoskeletal systems,QT interval,181
chr1,162014632,rs2880058,660,0.02915,1.149,NOS1AP,"Inflammatory disease of cervix, vagina, and vulva",QT interval,181
chr1,162133117,rs12029454,8185,0.02942,1.096,NOS1AP,Hypertension,QT interval,181
chr1,162085309,rs1415259,328,0.0296,1.217,NOS1AP,Allergic conjunctivitis,QTc interval,181
chr1,162014632,rs2880058,596,0.02964,1.154,NOS1AP,Chronic bronchitis,QT interval,181
chr1,162085309,rs1415259,2586,0.02983,1.094,NOS1AP,Glaucoma,QTc interval,181
chr1,162014632,rs2880058,166,0.03033,1.28,NOS1AP,Secondary hyperparathyroidism (of renal origin),QT interval,181
chr1,162085309,rs1415259,403,0.03047,1.179,NOS1AP,Acquired deformities of ankle and foot,QTc interval,181
chr1,162085309,rs1415259,361,0.03075,1.187,NOS1AP,Thyrotoxicosis,QTc interval,181
chr1,162033890,rs12143842,164,0.03126,1.316,NOS1AP,Endometriosis,QT interval,181
chr1,162033890,rs12143842,1095,0.03156,1.127,NOS1AP,Retention of urine,QT interval,181
chr1,162133117,rs12029454,235,0.03169,1.298,NOS1AP,"Cyst of kidney, acquired",QT interval,181
chr1,162085309,rs1415259,165,0.03188,1.276,NOS1AP,Lack of normal physiological development,QTc interval,181
chr1,162085309,rs1415259,151,0.03218,1.391,NOS1AP,Dysmenorrhea,QTc interval,181
chr1,162210610,rs4657178,461,0.03236,1.182,NOS1AP,Orthostatic hypotension,QT interval,181
chr1,162085309,rs1415259,498,0.0326,1.157,NOS1AP,Type 2 diabetic retinopathy,QTc interval,181
chr1,162014632,rs2880058,987,0.0328,1.119,NOS1AP,Fracture of lower limb,QT interval,181
chr1,162014632,rs2880058,3146,0.03294,1.091,NOS1AP,Retinal disorders,QT interval,181
chr1,162085309,rs1415259,847,0.03342,1.119,NOS1AP,Chronic ulcer of leg or foot,QTc interval,181
chr1,162085309,rs1415259,153,0.03368,1.286,NOS1AP,Type 2 diabetic peripheral circulatory disorders,QTc interval,181
chr1,162085309,rs1415259,145,0.03379,1.297,NOS1AP,Mucous polyp of cervix,QTc interval,181
chr1,162210610,rs4657178,288,0.03393,1.228,NOS1AP,Diffuse diseases of connective tissue,QT interval,181
chr1,162033890,rs12143842,840,0.03394,1.164,NOS1AP,Elevated prostate specific antigen,QT interval,181
chr1,162210610,rs4657178,8134,0.03423,1.075,NOS1AP,Essential hypertension,QT interval,181
chr1,162014632,rs2880058,217,0.03451,1.237,NOS1AP,Poisoning by primarily systemic agents,QT interval,181
chr1,162210610,rs4657178,453,0.03496,1.175,NOS1AP,Symptoms involving respiratory system,QT interval,181
chr1,162014632,rs2880058,851,0.03507,1.118,NOS1AP,Hereditary and idiopathic peripheral neuropathy,QT interval,181
chr1,162133117,rs12029454,8134,0.03524,1.092,NOS1AP,Essential hypertension,QT interval,181
chr1,162210610,rs4657178,498,0.03525,1.173,NOS1AP,Type 2 diabetic retinopathy,QT interval,181
chr1,162085309,rs1415259,632,0.0354,1.147,NOS1AP,Symptoms associated with female genital organs,QTc interval,181
chr1,162085309,rs1415259,1199,0.03546,1.1,NOS1AP,Chronic ulcer of skin,QTc interval,181
chr1,162210610,rs4657178,2154,0.0358,1.093,NOS1AP,Spondylosis and allied disorders,QT interval,181
chr1,162133117,rs12029454,228,0.03592,1.294,NOS1AP,Empyema and pneumothorax,QT interval,181
chr1,162210610,rs4657178,972,0.03628,1.151,NOS1AP,Hypertensive heart and/or renal disease,QT interval,181
chr1,162014632,rs2880058,2304,0.03641,1.104,NOS1AP,Macular degeneration,QT interval,181
chr1,162085309,rs1415259,128,0.03666,1.311,NOS1AP,Nervous system congenital anomalies,QTc interval,181
chr1,162033890,rs12143842,255,0.03705,1.233,NOS1AP,Viral hepatitis,QT interval,181
chr1,162085309,rs1415259,2341,0.03767,1.09,NOS1AP,"Disorders of synovium, tendon, and bursa",QTc interval,181
chr1,162033890,rs12143842,261,0.03792,1.228,NOS1AP,Develomental delays and disorders,QT interval,181
chr1,162014632,rs2880058,205,0.03819,1.238,NOS1AP,Adverse effects of antineoplastic and immunosuppressive drugs,QT interval,181
chr1,162014632,rs2880058,533,0.0383,1.148,NOS1AP,Diabetic retinopathy,QT interval,181
chr1,162085309,rs1415259,1095,0.03986,1.11,NOS1AP,Retention of urine,QTc interval,181
chr1,162133117,rs12029454,142,0.04026,1.378,NOS1AP,Hallux rigidus,QT interval,181
chr1,162014632,rs2880058,994,0.04027,1.114,NOS1AP,Diseases of nail,QT interval,181
chr1,162085309,rs1415259,1812,0.04031,1.084,NOS1AP,Heart valve disorders,QTc interval,181
chr1,162133117,rs12029454,238,0.04053,1.281,NOS1AP,"Hemangioma and lymphangioma, any site",QT interval,181
chr1,162133117,rs12029454,533,0.04067,1.193,NOS1AP,Diabetic retinopathy,QT interval,181
chr1,162210610,rs4657178,2029,0.04117,1.094,NOS1AP,Spondylosis without myelopathy,QT interval,181
chr1,162085309,rs1415259,6119,0.04145,1.082,NOS1AP,Cataract,QTc interval,181
chr1,162033890,rs12143842,2154,0.04149,1.091,NOS1AP,Spondylosis and allied disorders,QT interval,181
chr1,162133117,rs12029454,2982,0.04199,1.1,NOS1AP,Symptoms affecting skin,QT interval,181
chr1,162133117,rs12029454,263,0.042659999999999997,1.265,NOS1AP,Other disorders of lipoid metabolism and hyperalimentation,QT interval,181
chr1,162033890,rs12143842,118,0.04311,1.335,NOS1AP,Type 1 diabetic neuropathy,QT interval,181
chr1,162085309,rs1415259,660,0.0432,1.136,NOS1AP,"Inflammatory disease of cervix, vagina, and vulva",QTc interval,181
chr1,162033890,rs12143842,217,0.04393,1.247,NOS1AP,Poisoning by primarily systemic agents,QT interval,181
chr1,162085309,rs1415259,1229,0.0442,1.112,NOS1AP,Infection of the eye,QTc interval,181
chr1,162014632,rs2880058,137,0.04443,1.283,NOS1AP,Contracture of joint,QT interval,181
chr1,162133117,rs12029454,343,0.04449,1.244,NOS1AP,Symptoms involving urinary system,QT interval,181
chr1,162014632,rs2880058,539,0.04473,1.155,NOS1AP,Fracture of neck of femur,QT interval,181
chr1,162210610,rs4657178,727,0.04574,1.134,NOS1AP,Other disorders of bladder,QT interval,181
chr1,162085309,rs1415259,759,0.047,1.14,NOS1AP,AV block,QTc interval,181
chr1,162085309,rs1415259,171,0.04756,1.251,NOS1AP,Crystal arthropathies,QTc interval,181
chr1,162133117,rs12029454,385,0.04766,1.219,NOS1AP,Decubitus ulcer,QT interval,181
chr1,162014632,rs2880058,679,0.04776,1.128,NOS1AP,Acute posthemorrhagic anemia,QT interval,181
chr1,162033890,rs12143842,312,0.04805,1.204,NOS1AP,Polyp of female genital organs,QT interval,181
chr1,162210610,rs4657178,101,0.04807,1.359,NOS1AP,Disorders of esophageal motility,QT interval,181
chr1,162210610,rs4657178,1112,0.04817,1.111,NOS1AP,Type 2 diabetic ketoacidosis,QT interval,181
chr1,162085309,rs1415259,311,0.04847,1.195,NOS1AP,Mastodynia,QTc interval,181
chr1,162085309,rs1415259,1752,0.04912,1.093,NOS1AP,"Osteoporosis, NOS or other",QTc interval,181
chr1,162014632,rs2880058,464,0.04919,1.154,NOS1AP,Other open wound of head and face,QT interval,181
chr12,121424861,rs7310409,1005,0.001294,1.177,HNF1A,Spinal stenosis of lumbar region,"Gamma-glutamyl transferase, C-reactive protein",170
chr12,119923227,rs735396,1005,0.001331,1.179,HNF1A,Spinal stenosis of lumbar region,N-glycan levels,170
chr12,121424861,rs7310409,111,0.001445,1.549,HNF1A,Cardiac shunt/ heart septal defect,"Gamma-glutamyl transferase, C-reactive protein",170
chr12,121424861,rs7310409,1382,0.001595,1.157,HNF1A,Myocardial infarction,"Gamma-glutamyl transferase, C-reactive protein",170
chr12,119923227,rs735396,330,0.001963,1.292,HNF1A,Other diseases of the teeth and supporting structures,N-glycan levels,170
chr12,121424861,rs7310409,330,0.002067,1.289,HNF1A,Other diseases of the teeth and supporting structures,"Gamma-glutamyl transferase, C-reactive protein",170
chr12,121388962,rs2650000,539,0.003237,1.215,HNF1A,Hyperpotassemia,"LDL Cholesterol, C-reactive protein",170
chr12,119923227,rs735396,346,0.003324,1.272,HNF1A,Fracture of ribs,N-glycan levels,170
chr12,121424861,rs7310409,146,0.003644,1.42,HNF1A,Pericarditis,"Gamma-glutamyl transferase, C-reactive protein",170
